knotionCode,09-SC02,09-SC03,09-SC03,09-SC03,09-SC03,09-SC04,09-SC05,12-SC23,12-SC39,12-SC39,12-SC39,12-SC39,12-SC39,12-SC39,12-SC39,12-SC39,12-SC39,09-SC06,09-SC06,09-SC07,09-SC07,09-SC08,09-SC09,09-SC09,09-SC09,09-SC09,09-SC09,09-SC09,09-SC10,09-SC10,09-SC10,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC11,09-SC12,09-SC12,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC13,09-SC14,09-SC14,09-SC14,09-SC14,09-SC14,12-SC20,12-SC21,09-SC15,09-SC15,09-SC15,09-SC15,09-SC15,09-SC16,09-SC16,09-SC16,09-SC16,09-SC16,09-SC16,09-SC16,09-SC16,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC17,09-SC18,09-SC19,09-SC19,09-SC19,09-SC19,09-SC19,09-SC19,09-SC19,09-SC20,09-SC20,09-SC20,09-SC20,09-SC20,09-SC20,09-SC21,09-SC21,09-SC21,09-SC22,09-SC22,09-SC22,09-SC22,09-SC22,09-SC23,09-SC23,09-SC23,09-SC23,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC24,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,09-SC26,12-SC35,12-SC35,12-SC50
MX-NVL-0053,2,0,100,0,0,5,1,0,1,1,1,1,1,1,1,1,1,501,491,0,996,5,18,2,18,2,18,2,91,24,24,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,3,5,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,1,2,1,1,1,1,3,3,3,3,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,2,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,22.2,
MX-NAY-0008,2,0,100,0,0,4,1,0,1,1,1,1,1,1,1,1,2,81,86,0,0,6,19,1,20,0,18,0,57,30,30,2,2,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,,2,2,5,5,5,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,3,2,3,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,"1,3","1,3",1,1,1,"1,3",3,3,3,"3,5","3,5","3,5",4,4,3,2,4,3,3,3,3,3,3,3,4,4,5,33,
MX-COA-0012,2,0,100,0,0,4,1,0,1,1,1,1,1,1,1,1,1,111,85,0,996,4,4,3,4,3,4,3,11,25,25,2,2,1,4,4,1,1,2,1,1,1,1,4,1,3,3,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,3,2,4,5,5,5,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,2,"1,3",1,3,3,3,3,"1,2,3","1,2",3,3,5,3,3,4,4,4,3,3,2,3,3,4,3,3,4,4,0,0,"La aplicacion de la prueba PISA para escuelas a nuestro alumnado, es sin duda una oportunidad para todos los que de una u otra forma hemos participado en su formacion academica, de tener un resultado confiable para un analisis mas real de sus aprendizajes y la mejor toma de decisiones. Los resultados de la prueba PISA para escuelas da certeza, confianza y seguridad de ser un instrumento bien disenado y organizado para medir lo que las instituciones necesitamos, mas alla de los intereses del gobierno. Gracias."
MX-PUE-0048,2,0,100,0,0,5,1,0,1,1,1,1,1,2,1,2,1,24,27,0,0,6,19,10,,,19,10,53,53,53,1,2,1,2,1,1,1,1,1,3,1,2,2,1,2,3,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,,2,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,3,1,2,2,3,2,2,,1,1,1,2,2,,2,1,2,2,2,2,2,2,2,1,1,1,"1,3","1,3",3,"1,3",3,3,"1,2,3","1,3","1,3","1,2","1,2","1,3",4,3,2,2,4,3,3,4,3,2,4,3,3,4,0,0,
MX-BCS-0029,2,0,100,0,0,4,1,0,1,2,1,1,1,2,1,2,1,48,42,0,0,6,,,,,8,3,27,27,27,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,3,2,3,4,1,1,2,1,1,1,1,1,1,3,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,,,,,,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,4,3,3,3,3,4,4,4,4,2,100,,
MX-PUE-0005,2,0,100,0,0,4,1,0,1,1,1,1,1,1,1,1,1,95,61,0,996,6,13,,,,13,,60,60,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,4,1,5,5,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,3,3,2,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,0,
MX-NVL-0019,2,0,100,0,0,5,1,0,1,1,1,1,1,1,1,1,1,249,252,0,996,6,15,2,17,0,17,0,57,57,57,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,3,5,5,5,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,3,2,2,,1,1,2,1,2,,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,4,3,3,3,4,4,3,,,,,,,,,
MX-COA-0040,2,0,100,0,0,4,1,0,1,1,1,1,2,1,1,1,2,40,35,0,996,6,2,8,10,0,10,0,25,25,25,1,2,1,1,2,1,1,1,1,2,2,2,2,1,3,3,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,,2,4,4,4,3,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,3,1,2,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"1,2,3","1,2",1,"1,2","1,2,5","1,5",4,4,3,4,3,4,4,4,3,3,4,4,4,4,10,10,
MX-TAB-0031,2,0,98,2,0,4,1,0,1,1,1,1,1,2,1,2,2,205,195,0,0,6,23,21,23,21,17,21,20,19,19,2,,2,2,,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,,2,3,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,3,1,2,2,2,1,1,3,3,2,3,3,2,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,4,4,4,4,4,4,3,3,1,3,5,3,4,4,4,4,4,,2,3,4,4,4,4,4,4,0,100,
MX-QTO-0046,2,0,100,0,0,4,1,0,1,1,1,1,1,2,2,1,1,23,29,0,0,6,5,2,,,5,2,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,,2,3,3,3,3,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,,,,,,,,2,2,2,2,1,1,2,1,1,2,1,2,"1,3",1,1,1,1,"1,3","1,3","1,3","1,3","1,5","1,4","1,5",4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,25,
MX-QTO-0045,2,0,100,0,0,5,1,0,1,1,1,1,1,2,1,1,2,56,81,0,996,6,11,0,0,0,11,0,42,42,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,2,1,1,2,1,1,1,2,2,1,,,,,,2,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,"1,3","1,3","1,3","1,3",3,3,"1,3","1,3","1,3","1,3,5","1,3",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,18,"Solo insistir en la comunicacion precisa, habia diferentes listas de distribucion y aunque bien es cierto que se envio una ultima actualizacion, la coordinadora ya tenia una lista previa impresa que retraso un poco la aplicacion. Tuvimos el caso de una alumna que se sintio mal fisicamente y tuvo que abandonar el examen."
MX-CMX-0002,2,0,100,0,0,5,1,0,1,1,1,1,1,1,1,1,1,116,81,0,0,5,9,10,,,9,10,65,65,65,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,3,2,5,5,5,5,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,3,2,,1,1,1,1,2,,1,1,1,2,1,1,2,2,1,1,1,1,1,3,4,4,4,4,3,2,3,3,3,5,4,4,4,3,3,3,4,4,4,3,4,4,4,4,10,100,
MX-QUI-0036,2,0,100,0,0,4,1,0,1,1,1,1,2,1,1,1,1,113,106,0,996,5,10,7,17,0,17,0,75,28,28,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,,,,,,1,2,2,3,4,4,4,1,1,2,3,1,1,1,1,1,2,2,3,2,1,2,3,3,1,3,1,1,1,1,3,2,1,2,2,,2,1,2,2,2,,2,1,2,2,2,1,2,2,1,1,1,2,3,3,1,1,1,1,3,3,3,3,"2,3","1,3",4,3,3,3,4,4,3,3,4,3,3,3,3,4,0,0,La lectura de los gatos no aparece y la pregunta no corresponde.
MX-SON-0035,2,0,100,0,0,3,1,0,1,1,1,1,1,1,1,2,1,172,158,0,996,6,8,2,,,8,2,21,25,21,1,1,1,1,2,1,1,2,1,3,1,2,2,1,3,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,2,3,1,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,3,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,3,3,3,3,"1,2","1,2",1,1,"1,2","1,2",4,4,4,3,4,3,3,4,4,4,4,4,4,2,95,100,
MX-CMX-0052,2,0,100,0,0,4,1,0,1,1,1,1,1,1,1,1,1,110,104,0,,5,8,8,0,0,14,0,64,66,66,3,2,4,3,3,1,1,3,1,2,1,1,1,1,3,2,2,1,1,1,2,2,2,1,1,,,,,,2,1,2,2,2,1,2,2,5,5,4,4,1,1,1,1,1,1,1,1,4,3,3,3,4,4,3,3,4,1,2,2,2,1,1,3,2,3,3,2,,2,,,2,,,1,1,1,2,1,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,100,100,Conocer el procedimiento con mas informacion para apoyar y dar mas seguridad a los alumnos.
MX-QTO-0010,2,0,100,0,0,4,3,0,1,1,1,1,1,1,1,1,2,72,72,0,0,6,7,7,7,7,7,6,59,59,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,,2,5,5,5,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,3,1,3,2,2,3,3,1,2,1,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,3,3,2,2,1,1,2,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,20,
MX-CHI-0042,2,0,100,0,0,5,1,0,1,2,1,1,2,1,2,1,1,28,44,0,0,6,6,0,6,0,6,0,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,"1,2,3","1,2",1,1,"1,2,3",1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,6,1,buena herramienta para medir la capacidad y habilidad de los estudiantes
MX-BCN-0028,2,0,100,0,0,3,1,0,1,1,1,1,1,1,1,1,1,218,195,0,0,5,34,8,,,34,8,135,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,4,3,4,4,5,5,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,3,
MX-JAL-0057,2,0,100,0,0,5,1,0,1,1,1,1,1,1,1,1,2,272,183,0,0,5,66,0,0,0,66,0,51,25,25,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,5,5,4,5,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,3,3,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,"1,4","1,4","1,2","1,2",4,2,5,"1,3,5",4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,10,
MX-QTO-0020,2,0,100,0,0,5,3,0,1,1,1,1,1,2,2,2,2,67,90,0,996,5,10,4,10,4,10,4,48,22,22,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3,2,4,5,5,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,3,1,2,1,3,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,"1,2","1,2","1,2","1,2","1,2",1,4,4,3,4,3,3,4,4,4,3,4,4,4,4,35,14,
MX-SLP-0009,2,0,100,0,0,4,1,0,1,1,1,1,1,1,1,1,1,43,53,0,0,6,7,13,,,7,13,36,36,36,1,1,1,1,1,1,2,2,1,2,1,1,1,1,3,3,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,,2,5,5,5,5,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,5,5,3,4,3,3,4,4,2,2,3,3,4,3,3,2,30,100,Siempre es benefico que nos evaluen externamente y con mas enfasis si es una evaluación pisa. Espero y hago votos porque nuestros alumnos dejen en alto el nombre de nuestra institución
MX-JAL-0007,2,0,100,0,0,5,1,0,1,1,1,1,2,1,1,2,1,207,213,0,0,6,29,2,5,0,22,2,51,51,51,1,1,2,2,3,1,1,1,1,2,1,2,2,1,3,3,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,2,2,3,5,5,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2,3,3,1,3,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,3,3,3,3,3,1,1,1,3,2,3,4,4,4,4,4,3,4,4,4,2,3,3,4,4,6.8,37,
MX-GTO-0050,2,0,100,0,0,3,1,0,1,1,1,1,1,1,1,1,1,17,16,0,0,6,,11,,0,,11,11,12,12,1,1,1,2,3,1,1,2,1,3,1,1,3,1,3,1,2,2,2,1,2,1,1,1,1,1,1,2,2,2,,,,,,2,,2,4,3,3,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,100,
MX-BCN-0013,2,0,100,0,0,4,1,0,1,1,1,1,1,1,1,2,1,11,16,0,0,6,4,5,4,0,0,5,23,23,23,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,,,,,,2,,3,4,5,5,5,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,"1,4","1,4",4,4,4,4,"1,2","1,2","1,4","1,4","1,4","1,4",3,4,4,4,3,3,3,3,4,4,4,4,4,4,0,0,No asistieron 3 estudiantes
MX-DUR-0033,2,0,100,0,0,4,1,0,1,1,1,1,1,2,1,2,1,26,40,0,996,6,6,4,1,0,10,0,23,23,23,3,3,3,2,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,1,1,1,2,1,1,1,1,2,2,2,,,,,,1,2,2,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,,1,1,1,1,1,,1,1,2,2,1,1,1,1,1,1,1,1,1,"1,3",3,3,3,3,1,"1,2",1,"1,2,3","1,3","1,3",4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,100,
MX-SIN-0026,2,,,,,4,2,,1,1,1,1,2,2,2,1,2,,,0,,6,12,2,,,,,33,,,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,3,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,,,,,,2,4,4,1,1,4,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,3,2,3,3,3,,2,1,3,1,2,,1,2,2,2,2,2,2,1,2,1,1,2,5,5,5,5,5,5,"1,2,3","1,2",4,"1,5",5,5,3,3,4,4,3,4,3,3,3,4,3,4,3,4,,,
MX-MIC-0001,2,0,100,0,0,5,2,0,1,1,1,1,1,1,1,1,1,243,238,0,996,5,84,,84,,84,,54,54,54,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,,3,2,3,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,3,3,3,3,"1,2","1,2,4,5",1,"1,3,4","1,3","1,3",4,4,4,4,4,3,4,4,4,4,4,4,4,3,85,60,
MX-EDO-0021,2,0,100,0,0,5,2,2,1,1,1,1,1,1,2,2,2,,,0,0,6,,,,,,,38,40,40,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,,,,,,2,,2,3,4,4,4,1,2,2,1,1,1,1,1,2,2,2,3,1,1,1,1,2,1,1,1,1,2,1,2,2,2,3,2,1,2,1,1,1,1,,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,3,2,3,3,3,3,3,3,3,4,3,3,0,10,